Spot Loads,,,,,,,
,,,,,,,
Node,Load,Ph-1,Ph-1,Ph-2,Ph-2,Ph-3,Ph-3
,Model,kW,kVAr,kW,kVAr,kW,kVAr
2,D-PQ,0,0,56,47.3,0,0
3,D-PQ,160,71,160,71,380,154
4,D-I,351,170,351,170,351,170
5,D-PQ,120,106,40,25,0,0
6,D-PQ,35,27,90,63,20,17
8,D-PQ,100,83,120,90,120,90
9,D-PQ,0,0,55,40,50,23
10,D-PQ,65,26,65,26,65,26
11,D-I,72,54,72,54,72,54
12,D-PQ,17,11,0,0,0,0
13,D-PQ,95,55,95,55,95,55
14,D-PQ,70,39,70,39,70,39
16,D-PQ,900,400,900,400,900,400
17,D-PQ,1200,900,1200,900,1200,900
18,D-PQ,900,400,900,400,900,400
19,D-PQ,900,400,900,400,900,400
Total,,4562,2518,4651,2556.3,4700,2504
