# gridlabd_results/surreyc/current.csv run at 2000-01-01 03:00:00 EST on 90 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
node1-2,353.867983,-215.227459,-360.866926,-185.156013,6.998954,400.383451
node2-3,353.867983,-215.227459,-358.970877,-182.915153,5.102905,398.142591
node3-4,336.786657,-202.941860,-349.114263,-175.771314,12.327617,378.713153
node4-5,311.337638,-175.604918,-311.887296,-178.790262,0.549670,354.395160
node5-6,305.028607,-174.307218,-304.566938,-178.483868,-0.461657,352.791065
node6-7,8.780048,-8.302923,-10.437404,-6.116106,1.657356,14.419029
node7-8,7.507138,-6.483241,-8.813710,-3.909692,1.306572,10.392932
node7-9,1.272910,-1.819683,-1.623693,-2.206414,0.350784,4.026097
node6-10,294.133017,-164.760284,-289.806363,-169.001260,-4.326643,333.761524
node10-11,11.994607,-11.246546,-15.790729,-1.418290,3.796122,12.664835
node11-12,0.816309,-0.045363,-0.816309,0.045363,-0.000000,-0.000000
node11-13,6.620608,-3.885800,-6.675498,-3.790730,0.054891,7.676529
node10-14,151.849473,-94.863087,-158.078386,-84.074461,6.228921,178.937535
node14-15,146.962892,-92.103211,-153.244979,-81.222482,6.282095,173.325681
node15-16,63.011776,-28.432066,-56.128681,-40.353941,-6.883092,68.786002
node15-17,83.951116,-63.671145,-97.116298,-40.868541,13.165187,104.539679
node10-18,125.755473,-56.805626,-112.072682,-80.504919,-13.682788,137.310538
node18-19,62.930152,-28.428181,-56.084515,-40.285180,-6.845635,68.713358
