# gridlabd_results/bc_grid/current_optimised.csv run at 2000-01-01 03:00:00 EST on 92 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
node1-2,213.963024,-213.270689,-289.220044,-64.971910,75.257022,278.242597
node2-3,213.963024,-213.270689,-287.325371,-62.730571,73.362349,276.001258
node3-4,196.876229,-201.018601,-277.485436,-55.578118,80.609208,256.596717
node4-5,171.427209,-173.681659,-240.258470,-58.597066,68.831262,232.278723
node5-6,165.123140,-172.397539,-232.947374,-58.276235,67.824235,230.673772
node6-7,8.792402,-8.261911,-10.402940,-6.139959,1.610537,14.401869
node7-8,7.515581,-6.449729,-8.788060,-3.931113,1.272480,10.380842
node7-9,1.276822,-1.812182,-1.614879,-2.208846,0.338058,4.021027
node6-10,154.214764,-162.899843,-218.237898,-48.760820,64.023136,211.660661
node10-11,11.995164,-11.212441,-15.763113,-1.438490,3.767949,12.650931
node11-12,0.814811,-0.042603,-0.814811,0.042603,-0.000000,-0.000000
node11-13,6.622661,-3.854455,-6.649381,-3.808171,0.026719,7.662625
node10-14,105.182702,-93.923998,-133.931794,-44.129067,28.749094,138.053064
node14-15,100.296508,-91.189150,-129.120255,-41.264919,28.823748,132.454068
node15-16,62.958119,-28.101320,-55.815438,-40.472729,-7.142681,68.574048
node15-17,83.983446,-63.161355,-96.690958,-41.151244,12.707512,104.312598
node10-18,32.505008,-55.938341,-64.696499,-0.181060,32.191491,56.119400
node18-19,-30.273996,-27.883261,-9.010647,40.159650,39.284643,-12.276388
