# gridlabd_results/surreyc/voltage.csv run at 2000-01-01 03:00:00 EST on 90 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
node1,14433.756730,0.000000,-7216.878365,-12500.000000,-7216.878365,12500.000000
node2,14412.604465,-10.003867,-7218.555840,-12480.312604,-7196.964043,12491.819979
node3,14370.342354,-30.047492,-7221.783753,-12441.223575,-7157.262435,12475.745700
node4,14353.869039,-37.870543,-7222.962765,-12425.597326,-7141.880380,12469.163558
node5,14339.027146,-45.415729,-7224.849184,-12411.268911,-7127.324353,12463.424678
node6,14302.479355,-63.752242,-7229.854280,-12376.221154,-7091.165348,12449.244219
node7,14302.195078,-63.820092,-7229.893736,-12375.977237,-7090.883744,12449.089204
node8,14301.520666,-64.012980,-7229.916149,-12375.395722,-7090.275523,12448.753291
node9,14301.957189,-63.834306,-7230.021676,-12375.776922,-7090.568289,12448.917027
node10,14281.582623,-74.501035,-7232.655380,-12356.261209,-7070.530004,12441.452112
node11,14277.909213,-73.901721,-7230.218190,-12354.089153,-7069.445877,12438.854268
node12,14277.778949,-73.954841,-7230.086658,-12354.040673,-7069.441968,12438.861910
node13,14277.353510,-73.841986,-7229.901359,-12353.668644,-7069.196758,12438.394035
node14,14255.748023,-70.999135,-7217.339824,-12337.061968,-7059.507357,12419.670878
node15,14230.727260,-67.571054,-7202.477224,-12318.485173,-7048.860086,12398.556406
node16,14223.177801,-67.569546,-7198.827980,-12312.380954,-7044.851087,12392.734214
node17,14212.033739,-63.288467,-7189.981047,-12305.437879,-7042.232664,12381.866972
node18,14264.491488,-74.490570,-7224.388190,-12342.445347,-7061.459516,12428.267573
node19,14239.354293,-74.474617,-7212.228572,-12322.125606,-7048.119311,12408.875798
load2,14412.604465,-10.003867,-7218.555840,-12480.312604,-7196.964043,12491.819979
load3,14370.342354,-30.047492,-7221.783753,-12441.223575,-7157.262435,12475.745700
load4,14353.869039,-37.870543,-7222.962765,-12425.597326,-7141.880380,12469.163558
load5,14339.027146,-45.415729,-7224.849184,-12411.268911,-7127.324353,12463.424678
load6,14302.479355,-63.752242,-7229.854280,-12376.221154,-7091.165348,12449.244219
load8,14301.520666,-64.012980,-7229.916149,-12375.395722,-7090.275523,12448.753291
load9,14301.957189,-63.834306,-7230.021676,-12375.776922,-7090.568289,12448.917027
load10,14281.582623,-74.501035,-7232.655380,-12356.261209,-7070.530004,12441.452112
load11,14277.909213,-73.901721,-7230.218190,-12354.089153,-7069.445877,12438.854268
load12,14277.778949,-73.954841,-7230.086658,-12354.040673,-7069.441968,12438.861910
load13,14277.353510,-73.841986,-7229.901359,-12353.668644,-7069.196758,12438.394035
load14,14255.748023,-70.999135,-7217.339824,-12337.061968,-7059.507357,12419.670878
load16,14223.177801,-67.569546,-7198.827980,-12312.380954,-7044.851087,12392.734214
load17,14212.033739,-63.288467,-7189.981047,-12305.437879,-7042.232664,12381.866972
load18,14264.491488,-74.490570,-7224.388190,-12342.445347,-7061.459516,12428.267573
load19,14239.354293,-74.474617,-7212.228572,-12322.125606,-7048.119311,12408.875798
