# gridlabd_results/bc_grid/voltage_optimised.csv run at 2000-01-01 03:00:00 EST on 92 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
node1,14433.756730,0.000000,-7216.878365,-12500.000000,-7216.878365,12500.000000
node2,14417.087039,-3.449273,-7214.442136,-12485.778931,-7204.412216,12490.809531
node3,14383.790084,-10.383683,-7209.442532,-12457.622446,-7179.607063,12472.714245
node4,14371.002427,-12.814567,-7207.237469,-12446.491688,-7170.350504,12465.299597
node5,14359.846192,-14.967585,-7205.739812,-12436.658764,-7161.919972,12458.728212
node6,14332.483136,-19.864358,-7202.308726,-12412.815403,-7141.028336,12442.472473
node7,14332.199524,-19.932995,-7202.348888,-12412.571965,-7140.746692,12442.318563
node8,14331.526766,-20.127677,-7202.373073,-12411.991408,-7140.138379,12441.985048
node9,14331.962088,-19.947965,-7202.477287,-12412.372285,-7140.431202,12442.147606
node10,14317.094841,-22.546490,-7200.045051,-12399.575933,-7129.554019,12433.430898
node11,14313.425671,-21.953721,-7197.614920,-12397.403969,-7128.467088,12430.839149
node12,14313.295844,-22.007159,-7197.483811,-12397.355157,-7128.463211,12430.846789
node13,14312.870770,-21.896128,-7197.300209,-12396.983074,-7128.216743,12430.380673
node14,14297.510845,-16.375711,-7185.591664,-12386.720986,-7123.909583,12415.051868
node15,14278.739137,-10.275453,-7171.587817,-12374.488826,-7118.642244,12397.336651
node16,14271.209869,-10.304463,-7167.973001,-12368.386198,-7114.620444,12391.546248
node17,14260.078399,-6.079871,-7159.177825,-12361.426030,-7111.965156,12380.718739
node18,14310.576499,-17.885768,-7193.126337,-12396.556962,-7129.685456,12425.928906
node19,14316.449845,-4.102352,-7184.818363,-12407.966889,-7143.433665,12423.136303
load2,14417.087039,-3.449273,-7214.442136,-12485.778931,-7204.412216,12490.809531
load3,14383.790084,-10.383683,-7209.442532,-12457.622446,-7179.607063,12472.714245
load4,14371.002427,-12.814567,-7207.237469,-12446.491688,-7170.350504,12465.299597
load5,14359.846192,-14.967585,-7205.739812,-12436.658764,-7161.919972,12458.728212
load6,14332.483136,-19.864358,-7202.308726,-12412.815403,-7141.028336,12442.472473
load8,14331.526766,-20.127677,-7202.373073,-12411.991408,-7140.138379,12441.985048
load9,14331.962088,-19.947965,-7202.477287,-12412.372285,-7140.431202,12442.147606
load10,14317.094841,-22.546490,-7200.045051,-12399.575933,-7129.554019,12433.430898
load11,14313.425671,-21.953721,-7197.614920,-12397.403969,-7128.467088,12430.839149
load12,14313.295844,-22.007159,-7197.483811,-12397.355157,-7128.463211,12430.846789
load13,14312.870770,-21.896128,-7197.300209,-12396.983074,-7128.216743,12430.380673
load14,14297.510845,-16.375711,-7185.591664,-12386.720986,-7123.909583,12415.051868
load16,14271.209869,-10.304463,-7167.973001,-12368.386198,-7114.620444,12391.546248
load17,14260.078399,-6.079871,-7159.177825,-12361.426030,-7111.965156,12380.718739
load18,14310.576499,-17.885768,-7193.126337,-12396.556962,-7129.685456,12425.928906
load19,14316.449845,-4.102352,-7184.818363,-12407.966889,-7143.433665,12423.136303
DG1,14417.087039,-3.449273,-7214.442136,-12485.778931,-7204.412216,12490.809531
DG2,14278.739137,-10.275453,-7171.587817,-12374.488826,-7118.642244,12397.336651
DG3,14316.449845,-4.102352,-7184.818363,-12407.966889,-7143.433665,12423.136303
